colors,R,G,B,color_mapped
#F58025,245,128,37,오렌지
#86608E,134,96,142,그레이
#BE4F62,190,79,98,카멜
#CC8899,204,136,153,모카
#644117,100,65,23,브라운
#FF7518,255,117,24,오렌지
#FE4EDA,254,78,218,라벤더
#4E5180,78,81,128,차콜
#6A0DAD,106,13,173,퍼플
#800080,128,0,128,퍼플
#9F00C5,159,0,197,바이올렛
#9C51B6,156,81,182,라벤더
#9A4EAE,154,78,174,라벤더
#A020F0,160,32,240,바이올렛
#9678B6,150,120,182,라벤더
#E8CCD7,232,204,215,핑크
#915F6D,145,95,109,그레이
#242124,36,33,36,딥그린
#A6A6A6,166,166,166,라벤더
#8E3A59,142,58,89,브라운
#436B95,67,107,149,그레이
#FF355E,255,53,94,레드
#E30B5D,227,11,93,마젠타
#FBAB60,251,171,96,코랄
#FF33CC,255,51,204,마젠타
#B3446C,179,68,108,마젠타
#663399,102,51,153,퍼플
#D68A59,214,138,89,카멜
#EE204D,238,32,77,레드
#826644,130,102,68,브라운
#E3256B,227,37,107,마젠타
#FF0000,255,0,0,레드
#F2003C,242,0,60,레드
#8D4E85,141,78,133,그레이
#ED1C24,237,28,36,레드
#FF5349,255,83,73,오렌지
#C40233,196,2,51,마젠타
#FE2712,254,39,18,레드
#ED2939,237,41,57,레드
#C71585,199,21,133,마젠타
#FD3A4A,253,58,74,레드
#E40078,228,0,120,마젠타
#FF681F,255,104,31,오렌지
#FF4500,255,69,0,레드
#C0448F,192,68,143,마젠타
#A45A52,164,90,82,카멜
#002387,0,35,135,네이비
#777696,119,118,150,그레이
#010203,1,2,3,블랙
#004040,0,64,64,딥그린
#922B3E,146,43,62,브라운
#010B13,1,11,19,블랙
#FF66CC,255,102,204,핑크
#F9429E,249,66,158,마젠타
#FF007F,255,0,127,마젠타
#674846,103,72,70,차콜
#838996,131,137,150,그레이
#00CCCC,0,204,204,터쿼이즈
#9E5E6F,158,94,111,그레이
#444C38,68,76,56,차콜
#8A7F80,138,127,128,그레이
#AA98A9,170,152,169,라벤더
#E32636,227,38,54,레드
#C21E56,194,30,86,마젠타
#905D5D,144,93,93,그레이
#80461B,128,70,27,브라운
#D10056,209,0,86,마젠타
#CE4676,206,70,118,마젠타
#FADA5E,250,218,94,코랄
#679267,103,146,103,그레이
#002366,0,35,102,네이비
#A81C07,168,28,7,브라운
#D40000,212,0,0,레드
#AB4E52,171,78,82,카멜
#4169E1,65,105,225,블루
#65000B,101,0,11,버건디
#BC8F8F,188,143,143,모카
#7851A9,120,81,169,라벤더
#E0115F,224,17,95,마젠타
#9B111E,155,17,30,버건디
#DA2C43,218,44,67,레드
#043927,4,57,39,딥그린
#32174D,50,23,77,차콜
#B7410E,183,65,14,브라운
#8B4513,139,69,19,브라운
#F4C430,244,196,48,머스타드
