colors,R,G,B
#D1AE97,209,174,151
#D21034,210,16,52
#D2D6D9,210,214,217
#D2D7E4,210,215,228
#D2DFDC,210,223,220
#D32939,211,41,57
#D385C8,211,133,200
#D38DA6,211,141,166
#D3C9CE,211,201,206
#D3CFAC,211,207,172
#D3DEDB,211,222,219
#D3E13C,211,225,60
#D49100,212,145,0
#D4BEB6,212,190,182
#D4C4CE,212,196,206
#D4CCAA,212,204,170
#D4D4E0,212,212,224
#D4DCE8,212,220,232
#D4DDED,212,221,237
#D5647C,213,100,124
#D58F59,213,143,89
#D5AA88,213,170,136
#D5BDB0,213,189,176
#D5C4A1,213,196,161
#D5D3BF,213,211,191
#D60077,214,0,119
#D67500,214,117,0
#D6C5D3,214,197,211
#D7004D,215,0,77
#D708B2,215,8,178
#D733B4,215,51,180
#D7C4E7,215,196,231
#D7D0E0,215,208,224
#D7D29D,215,210,157
#D7E300,215,227,0
#D7E9A1,215,233,161
#D81F2A,216,31,42
#D84519,216,69,25
#D8BD00,216,189,0
#D8CBEB,216,203,235
#D8CC46,216,204,70
#D8DB6F,216,219,111
#D99CE1,217,156,225
#D9A7B1,217,167,177
#D9BFE0,217,191,224
#D9D7B9,217,215,185
#D9DCC5,217,220,197
#DA5C05,218,92,5
#DA89BE,218,137,190
#DACCE1,218,204,225
#DB0C41,219,12,65
#DBAE00,219,174,0
#DBAEC6,219,174,198
#DBBCC1,219,188,193
#DBCA67,219,202,103
#DC241F,220,36,31
#DDC2B0,221,194,176
#DDCDC7,221,205,199
#DDCEC4,221,206,196
#DDDBB1,221,219,177
#DDDF00,221,223,0
#DDE18A,221,225,138
#DDE56C,221,229,108
#DE6100,222,97,0
#DEACB7,222,172,183
#DEBDD4,222,189,212
#DED8E6,222,216,230
#DED9C2,222,217,194
#DEE63A,222,230,58
#DF81D6,223,129,214
#DFA5D6,223,165,214
#DFD27C,223,210,124
#DFD4DB,223,212,219
#E0218A,224,33,138
#E032AF,224,50,175
#E0CA00,224,202,0
#E0D4BB,224,212,187
#E0D5DE,225,213,222
#E1A7CF,225,167,207
#E1BCD0,225,188,208
#E1BEA4,225,190,164
#E1E400,225,228,0
#E23828,226,56,40
#E270CD,226,112,205
#E2ABBF,226,171,191
#E2C1C8,226,193,200
#E2C9DA,226,201,218
#E2D973,226,217,115
#E2E59F,226,229,157
#E34585,227,69,133
#E3C0E6,227,192,230
#E3CBD0,227,203,208
#E3E1C1,227,225,193
#E40050,228,0,80
#E44D6F,228,77,11
#E47F00,228,127,0
#E49969,228,153,105
#E4D2C5,228,210,197
#E4E400,228,228,0
#E5239D,229,35,157
#E54661,229,70,97
#E54800,229,72,0
#E55300,229,83,0
#E58DA2,229,141,162
#E5AE86,229,174,134
#E5BFC7,229,191,199
#E5CAD9,229,202,217
#E5D1DF,229,209,223
#E5DB97,229,219,151
#E5E96E,229,233,110
#E61577,230,21,119
#E653BC,230,83,188
#E6A2E0,230,162,224
#E6C1DB,230,193,219
#E76F00,231,111,0
#E7A7B6,231,167,182
#E7B9CA,231,185,202
#E7BADF,231,186,223
#E7CDD2,231,205,210
#E7E29A,231,226,154
#E7E3B5,231,227,181
#E86FB8,232,111,184
#E87BAC,232,123,172
#E8B7E5,232,183,229
#E8CEBB,232,206,187
#E90649,233,6,73
#E96B10,233,107,16
#E9C2D1,233,194,209
#E9CCD2,233,204,210
#E9DC00,233,220,0
#E9E6B4,223,230,180
#E9E73F,233,231,63
#EA0437,234,4,55
#EA12AF,234,18,175
#EAD4E4,234,212,228
#EADB1B,234,219,27
#EB9BB2,235,155,178
#EBAB00,235,171,0
#EBADCD,235,173,205
#EBC6D3,235,198,211
#EBCAE3,235,202,227
#EBCDC3,235,205,195
#EBE9C3,235,233,195
#EC9384,236,147,132
#ECA9B9,236,169,185
#ECAB9D,236,171,157
#ECBBAF,236,187,175
#ECBBDD,236,187,221
#ECC3A5,236,195,165
#ECD6AF,236,214,175
#ECE100,236,225,0
#ED8000,237,128,0
#ED9B4F,237,155,79
#EDB8C5,237,184,197
#EDB996,237,185,150
#EDCFD7,237,207,215
#EDE25E,237,226,94
#EDEB8F,237,235,143
#EE86D3,238,134,211
#EEC5A9,238,197,169
#EEE88D,238,232,141
#EEEAA5,238,234,165
#EEEBB6,238,235,182
#EF40B0,239,64,176
#EF6782,239,103,130
#EF6ABF,239,106,191
#EFAA23,239,170,35
#EFC18A,239,193,138
#EFC3E4,239,195,228
#EFC4CE,239,196,206
#EFC868,239,200,104
#EFCFB8,239,207,184
#EFDF85,239,223,133
#EFE600,239,230,0
#F02233,240,34,51
#F0C2CD,240,194,205
#F0D0BB,240,208,187
#F0EB7A,240,235,122
#F17C0E,241,124,14
#F1AB00,241,171,0
#F1BB46,241,187,70
#F1CD44,241,205,68
#F23F72,242,63,114
#F2558A,242,85,138
#F293D1,242,147,209
#F2B0DF,242,176,223
#F2D65E,242,214,94
#F2D6DE,242,214,222
#F34E9A,243,78,154
#F3BCD4,243,188,212
#F3E2A7,243,226,167
#F3ED86,243,237,134
#F575C9,245,117,201
#F590A6,245,144,166
#F59BBD,245,155,189
#F5B0C1,245,176,193
#F5C7D4,245,199,212
#F5DD92,245,221,146
#F5EC62,245,236,98
#F6E761,246,231,97
#F7A7DB,247,167,219
#F85D7E,248,93,129
#F8779E,248,119,158
#F8A1BE,248,161,190
#F8B8CB,248,184,203
#F8D583,248,213,131
#F9425F,249,66,95
#F9455B,249,69,91
#F97DB8,249,125,184
#F9964A,249,150,74
#F9DF79,249,223,121
#FA9FCC,250,159,204
#FAAFC2,250,175,194
#FACDAE,250,205,174
#FAE051,250,224,81
#FAE15A,250,225,90
#FAE22F,250,226,47
#FAE600,250,230,0
#FB6581,251,101,129
#FBC399,251,195,153
#FBCF8D,251,207,141
#FBD09D,251,208,157
#FBDB6E,251,219,110
#FBDE4A,251,222,74
#FC8DA9,252,141,169
#FD4703,253,71,3
#FDB179,253,177,121
#FDC3AA,253,195,170
#FDC745,253,199,69
#FDC87D,253,200,125
#FDD44F,253,212,79
#FE9DB0,254,157,176
#FEC688,254,198,136
#FEC85A,254,200,90
#FEDB00,254,219,0
#FF1CAC,255,28,172
#FF3485,255,52,133
#FF5200,255,82,0
#FF585E,255,88,94
#FF5B60,255,91,96
#FF5F00,255,95,0
#FF6141,255,97,65
#FF6900,255,105,0
#FF6C3B,255,108,59
#FF7200,255,114,0
#FF7300,255,115,0
#FF7750,255,119,80
#FF7E43,255,126,67
#FF818C,255,129,140
#FF859A,255,133,154
#FF8642,255,134,66
#FF897B,255,137,123
#FF8E70,255,142,112
#FF963B,255,150,59
#FF9A00,255,154,0
#FF9C71,255,156,113
#FF9F00,255,159,0
#FFA243,255,162,67
#FFA28B,255,162,139
#FFA94F,255,169,79
#FFA97D,255,169,125
#FFACB9,255,172,185
#FFB300,255,179,0
#FFB57B,255,181,123
#FFB6B1,255,182,177
#FFB754,255,183,84
#FFBC3A,255,188,58
#FFBFA0,255,191,160
#FFC726,255,199,38
#FFCE00,255,206,0
#FFCE09,225,206,9
#FFD100,255,209,0
#FFE805,225,232,5
